e0d16f274fbf84050162cd7e765d30bd,"Multistate"
s113bcf5,"Students describe ways in which the principles and subject matter of other disciplines taught in the school are interrelated with the visual arts"
s113bc62,"Achievement Standard, Proficient:"
s113bcf6,"Students compare the materials, technologies, media, and processes of the visual arts with those of other arts disciplines as they are used in creation and types of analysis"
s113bcf7,"Students compare characteristics of visual arts within a particular historical period or style with ideas, issues, or themes in the humanities or sciences"
s113bc68,"Achievement Standard, Advanced:"
s113bcf8,"Students synthesize the creative and analytical principles and techniques of the visual arts and selected other arts disciplines, the humanities, or the sciences"
483f982efd4b37e6e00190cf55df2a3f,"National Council of Teachers of Mathematics"
s100582a,"Number and Operations Standard"
s10072ce,"Understand numbers, ways of representing numbers, relationships among numbers, and number systems"
s101e53e,"count with understanding and recognize ""how many"" in sets of objects"
s1002fd1,"use multiple models to develop initial understandings of place value and the base-ten number system"
s1019cc3,"develop understanding of the relative position and magnitude of whole numbers and of ordinal and cardinal numbers and their connections"
s100224f,"develop a sense of whole numbers and represent and use them in flexible ways, including relating, composing, and decomposing numbers"
s100cd88,"connect number words and numerals to the quantities they represent, using various physical models and representations"
s1026eff,"understand and represent commonly used fractions, such as 1/4, 1/3, and 1/2"
s1021171,"understand the place-value structure of the base-ten number system and be able to represent and compare whole numbers and decimals"
s101c129,"recognize equivalent representations for the same number and generate them by decomposing and composing numbers"
s10096c0,"develop understanding of fractions as parts of unit wholes, as parts of a collection, as locations on number lines, and as divisions of whole numbers"
s1016dfc,"use models, benchmarks, and equivalent forms to judge the size of fractions"
s1012c79,"recognize and generate equivalent forms of commonly used fractions, decimals, and percents"
s1001d44,"explore numbers less than 0 by extending the number line and through familiar applications"
s1007eb8,"describe classes of numbers according to characteristics such as the nature of their factors"
s1014ba7,"work flexibly with fractions, decimals, and percents to solve problems"
s101764c,"compare and order fractions, decimals and percents efficiently and find their approximate locations on a number line"
s1024d50,"develop meaning for percents greater than 100 and less than 1"
s10234c7,"understand and use ratios and proportions to represent quantitative relationships"
s10215a6,"develop an understanding of large numbers and recognize and appropriately use exponential, scientific, and calculator notations"
s1011b12,"use factors, multiples, prime factorization, and relatively prime numbers to solve problems"
s1018c78,"develop meaning for integers and represent and compare quantities with them"
s101f7cd,"develop a deeper understanding of very large and very small numbers and of various representations of them"
s101386a,"compare and contrast the properties of numbers and number systems, including the rational and real numbers, and understand complex numbers as solutions to quadratic equations that do not have real solutions"
s100e33d,"understand vectors and matrices as systems that have some of the properties of the real-number system"
s100b291,"use number-theory arguments to justify relationships involving whole numbers"
s1026aa7,"Understand meanings of operations and how they relate to one another"
s100b161,"understand various meanings of addition and subtraction of whole numbers and the relationship between the two operations"
s100c58f,"understand the effects of adding and subtracting whole numbers"
s100bb50,"understand situations that entail multiplication and division, such as equal groupings of objects and sharing equally"
s10258da,"understand various meanings of multiplication and division"
s1012e2c,"understand the effects of multiplying and dividing whole numbers"
s1008b29,"identify and use relationships between operations, such as division as the inverse of multiplication, to solve problems"
s1001b40,"understand and use properties of operations, such as the distributivity of multiplication over addition"
s100b4e5,"understand the meaning and effects of arithmetic operations with fractions, decimals, and integers"
s101fb1e,"use the associative and commutative properties of addition and multiplication and the distributive property of multiplication over addition to simplify computations with integers, fractions, and decimals"
s102030d,"understand and use the inverse relationships of addition and subtraction, multiplication and division, and squaring and finding square roots to simplify computations and solve problems"
s10125e7,"judge the effects of such operations as multiplication, division, and computing powers and roots on the magnitudes of quantities"
s1025a16,"develop an understanding of properties of, and representations for, the addition and multiplication of vectors and matrices"
s10095d4,"develop an understanding of permutations and combinations as counting techniques"
s100b510,"Compute fluently and make reasonable estimates"
s1012136,"develop and use strategies for whole-number computations, with a focus on addition and subtraction"
s100496f,"develop fluency with basic number combinations for addition and subtraction"
s1009cd1,"use a variety of methods and tools to compute, including objects, mental computation, estimation, paper and pencil, and calculators"
s100afe9,"develop fluency with basic number combinations for multiplication and division and use these combinations to mentally compute related problems, such as 30 x 50"
s1000dd9,"develop fluency in adding, subtracting, multiplying, and dividing whole numbers"
s1021404,"develop and use strategies to estimate the results of whole-number computations and to judge the reasonableness of such results"
s10191f5,"develop and use strategies to estimate computations involving fractions and decimals in situations relevant to students' experience"
s1003227,"use visual models, benchmarks, and equivalent forms to add and subtract commonly used fractions and decimals"
s100a885,"select appropriate methods and tools for computing with whole numbers from among mental computation, estimation, calculators, and paper and pencil according to the context and nature of the computation and use the selected method or tools"
s1012e9b,"select appropriate methods and tools for computing with fractions and decimals from among mental computation, estimation, calculators, or computers, and paper and pencil, depending on the situation, and apply the selected methods"
s1021b90,"develop and analyze algorithms for computing with fractions, decimals, and integers and develop fluency in their use"
s101c451,"develop and use strategies to estimate the results of rational-number computations and judge the reasonableness of the results"
s101e621,"develop, analyze, and explain methods for solving problems involving proportions, such as scaling and finding equivalent ratios"
s1001918,"develop fluency in operations with real numbers, vectors, and matrices, using mental computation or paper-and-pencil calculations for simple cases and technology for more-complicated cases"
s10018dc,"judge the reasonableness of numerical computations and their results"
s10151b2,"Algebra Standard"
s1023642,"Understand patterns, relations, and functions"
s100a25a,"sort, classify, and order objects by size, number, and other properties"
s1001129,"recognize, describe, and extend patterns such as sequences of sounds and shapes or simple numeric patterns and translate from one representation to another"
s1006d0a,"analyze how both repeating and growing patterns are generated"
s100eaf2,"describe, extend, and make generalizations about geometric and numeric patterns"
s1026184,"represent and analyze patterns and functions, using words, tables, and graphs"
s101961c,"represent, analyze, and generalize a variety of patterns with tables, graphs, words, and, when possible, symbolic rules"
s100916c,"relate and compare different forms of representation for a relationship"
s101dfe2,"identify functions as linear or nonlinear and contrast their properties from tables, graphs, or equations"
s1014b10,"generalize patterns using explicitly defined and recursively defined functions"
s101bee7,"understand relations and functions and select, convert flexibly among, and use various representations for them"
s10184f1,"analyze functions of one variable by investigating rates of change, intercepts, zeros, asymptotes, and local and global behavior"
s101511e,"understand and perform transformations such as arithmetically combining, composing, and inverting commonly used functions, using technology to perform such operations on more-complicated symbolic expressions"
s10196cf,"understand and compare the properties of classes of functions, including exponential, polynomial, rational, logarithmic, and periodic functions"
s1018de7,"interpret representations of functions of two variables"
s1001497,"Represent and analyze mathematical situations and structures using algebraic symbols"
s1023b81,"illustrate general principles and properties of operations, such as commutativity, using specific numbers"
s1010e36,"Use concrete, pictorial, and verbal representations to develop an understanding of invented and conventional symbolic notations"
s100995d,"identify such properties as commutativity, associativity, and distributivity and use them to compute with whole numbers"
s101bf6c,"represent the idea of a variable as an unknown quantity using a letter or a symbol"
s101292a,"express mathematical relationships using equations"
s100a9bc,"develop an initial conceptual understanding of different uses of variables"
s100b94f,"explore relationships between symbolic expressions and graphs of lines, paying particular attention to the meaning of intercept and slope"
s100f129,"use symbolic algebra to represent situations and to solve problems, especially those that involve linear relationships"
s100f542,"recognize and generate equivalent forms for simple algebraic expressions and solve linear equations"
s1015954,"understand the meaning of equivalent forms of expressions, equations, inequalities, and relations"
s102560d,"write equivalent forms of equations, inequalities, and systems of equations and solve them with fluency--mentally or with paper and pencil in simple cases and using technology in all cases"
s101712f,"use symbolic algebra to represent and explain mathematical relationships"
s100f3b2,"use a variety of symbolic representations, including recursive and parametric equations, for functions and relations"
s101aec4,"judge the meaning, utility, and reasonableness of results of symbol manipulations, including those carried out by technology"
s100186e,"Use mathematical models to represent and understand quantitative relationships"
s100562c,"model situations that involve the addition and subtraction of whole numbers, using objects, pictures, and symbols"
s101f02e,"model problem situations with objects and use representations such as graphs, tables, and equations to draw conclusions"
s1012808,"model and solve contextual problems using various representations, such as graphs, tables, and equations"
s1026566,"identify essential quantitative relationships in a situation and determine the class or classes of functions that might model the relationships"
s101baa0,"use symbolic expressions, including iterative and recursive forms, to represent relationships arising from various contexts"
s10014ab,"draw reasonable conclusions about a situation being modeled"
s100cd9d,"Analyze change in various contexts"
s1023e6c,"describe qualitative change, such as a student's growing taller"
s1006a97,"describe quantitative change, such as a student's growing two inches in one year"
s10151d5,"investigate how a change in one variable relates to a change in a second variable"
s10033b5,"identify and describe situations with constant or varying rates of change and compare them"
s10182bf,"use graphs to analyze the nature of changes in quantities in linear relationships"
s1005a3a,"approximate and interpret rates of change from graphical and numerical data"
s1002593,"Geometry Standard"
s10218cc,"Analyze characteristics and properties of two- and three-dimensional geometric shapes and develop mathematical arguments about geometric relationships"
s1000147,"recognize, name, build, draw, compare, and sort two- and three-dimensional shapes"
s1000382,"describe attributes and parts of two- and three-dimensional shapes"
s100618e,"investigate and predict the results of putting together and taking apart two- and three-dimensional shapes"
s1009f2a,"identify, compare, and analyze attributes of two- and three-dimensional shapes and develop vocabulary to describe the attributes"
s1000200,"classify two- and three-dimensional shapes according to their properties and develop definitions of classes of shapes such as triangles and pyramids"
s1025b22,"investigate, describe, and reason about the results of subdividing, combining, and transforming shapes"
s101628a,"explore congruence and similarity"
s1016917,"make and test conjectures about geometric properties and relationships and develop logical arguments to justify conclusions"
s1012a0b,"precisely describe, classify, and understand relationships among types of two- and three-dimensional objects using their defining properties"
s1005a82,"understand relationships among the angles, side lengths, perimeters, areas, and volumes of similar objects"
s1003ac5,"create and critique inductive and deductive arguments concerning geometric ideas and relationships, such as congruence, similarity, and the Pythagorean relationship"
s101a159,"analyze properties and determine attributes of two- and three-dimensional objects"
s100106b,"explore relationships (including congruence and similarity) among classes of two- and three-dimensional geometric objects, make and test conjectures about them, and solve problems involving them"
s10036c9,"establish the validity of geometric conjectures using deductions, prove theorems, and critique arguments made by others"
s10135fb,"use trigonometric relationships to determine lengths and angle measures"
s1002cc7,"Specify locations and describe spatial relationships using coordinate geometry and other representational systems"
s10081a3,"describe, name, and interpret relative positions in space and apply ideas about relative position"
s10101f5,"describe, name, and interpret direction and distance in navigating space and apply ideas about direction and distance"
s1013c3d,"find and name locations with simple relationships such as ""near to"" and in coordinate systems such as maps"
s1004b32,"describe locations and movement using common language and geometric vocabulary"
s1019b4b,"make and use coordinate systems to specify locations and to describe paths"
s100a9bd,"find the distance between points along horizontal and vertical lines of a coordinate system"
s1020f7c,"use coordinate geometry to represent and examine the properties of geometric shapes"
s101e979,"use coordinate geometry to examine special geometric shapes, such as regular polygons or those with pairs of parallel or perpendicular sides"
s1015c80,"use Cartesian coordinates and other coordinate systems, such as navigational, polar, or spherical systems, to analyze geometric situations"
s10132cc,"investigate conjectures and solve problems involving two- and three-dimensional objects represented with Cartesian coordinates"
s101dcc0,"Apply transformations and use symmetry to analyze mathematical situations"
s100ec2c,"recognize and apply slides, flips, and turns"
s1017beb,"recognize and create shapes that have symmetry"
s1018f17,"predict and describe the results of sliding, flipping, and turning two-dimensional shapes"
s1013eaa,"describe a motion or a series of motions that will show that two shapes are congruent"
s1008151,"identify and describe line and rotational symmetry in two- and three-dimensional shapes and designs"
s1025ff6,"describe sizes, positions, and orientations of shapes under informal transformations such as flips, turns, slides, and scaling"
s100f744,"examine the congruence, similarity, and line or rotational symmetry of objects using transformations"
s101379f,"understand and represent translations, reflections, rotations, and dilations of objects in the plane by using sketches, coordinates, vectors, function notation, and matrices"
s101abba,"use various representations to help understand the effects of simple transformations and their compositions"
s1000876,"Use visualization, spatial reasoning, and geometric modeling to solve problems"
s101aac9,"create mental images of geometric shapes using spatial memory and spatial visualization"
s10143cd,"recognize and represent shapes from different perspectives"
s100ec5c,"relate ideas in geometry to ideas in number and measurement"
s101b2e6,"recognize geometric shapes and structures in the environment and specify their location"
s1014eb5,"build and draw geometric objects"
s100f028,"create and describe mental images of objects, patterns, and paths"
s1011661,"identify and build a three-dimensional object from two-dimensional representations of that object"
s1022936,"identify and draw a two-dimensional representation of a three-dimensional object"
s10177a6,"use geometric models to solve problems in other areas of mathematics, such as number and measurement"
s1000294,"recognize geometric ideas and relationships and apply them to other disciplines and to problems that arise in the classroom or in everyday life"
s101e058,"draw geometric objects with specified properties, such as side lengths or angle measures"
s1022e75,"use two-dimensional representations of three-dimensional objects to visualize and solve problems such as those involving surface area and volume"
s1022257,"use visual tools such as networks to represent and solve problems"
s1020410,"use geometric models to represent and explain numerical and algebraic relationships"
s1001e34,"recognize and apply geometric ideas and relationships in areas outside the mathematics classroom, such as art, science, and everyday life"
s1000b2a,"draw and construct representations of two- and three-dimensional geometric objects using a variety of tools"
s1007cab,"visualize three-dimensional objects and spaces from different perspectives and analyze their cross sections"
s1017533,"use vertex-edge graphs to model and solve problems"
s10098e4,"use geometric models to gain insights into, and answer questions in, other areas of mathematics"
s101b77f,"use geometric ideas to solve problems in, and gain insights into, other disciplines and other areas of interest such as art and architecture"
s102673d,"Measurement Standard"
s10071e6,"Understand measurable attributes of objects and the units, systems, and processes of measurement"
s1017aa3,"recognize the attributes of length, volume, weight, area, and time"
s1008d56,"compare and order objects according to these attributes"
s100a83b,"understand how to measure using nonstandard and standard units"
s1015549,"select an appropriate unit and tool for the attribute being measured"
s101c299,"understand such attributes as length, area, weight, volume, and size of angle and select the appropriate type of unit for measuring each attribute"
s1014684,"understand the need for measuring with standard units and become familiar with standard units in the customary and metric systems"
s100250b,"carry out simple unit conversions, such as from centimeters to meters, within a system of measurement"
s1005a4b,"understand that measurements are approximations and how differences in units affect precision"
s10173ae,"explore what happens to measurements of a two-dimensional shape such as its perimeter and area when the shape is changed in some way"
s1026d16,"understand both metric and customary systems of measurement"
s102529a,"understand relationships among units and convert from one unit to another within the same system"
s100c331,"understand, select, and use units of appropriate size and type to measure angles, perimeter, area, surface area, and volume"
s1015743,"make decisions about units and scales that are appropriate for problem situations involving measurement"
s1020d92,"Apply appropriate techniques, tools, and formulas to determine measurements"
s1001097,"measure with multiple copies of units of the same size, such as paper clips laid end to end"
s1005808,"use repetition of a single unit to measure something larger than the unit, for instance, measuring the length of a room with a single meterstick"
s1022842,"use tools to measure"
s10254e5,"develop common referents for measures to make comparisons and estimates"
s1004fe1,"develop strategies for estimating the perimeters, areas, and volumes of irregular shapes"
s1008289,"select and apply appropriate standard units and tools to measure length, area, volume, weight, time, temperature, and the size of angles"
s1001078,"select and use benchmarks to estimate measurements"
s100c7d5,"develop, understand, and use formulas to find the area of rectangles and related triangles and parallelograms"
s1002c30,"develop strategies to determine the surface areas and volumes of rectangular solids"
s1008594,"use common benchmarks to select appropriate methods for estimating measurements"
s10083a6,"select and apply techniques and tools to accurately find length, area, volume, and angle measures to appropriate levels of precision"
s1001bc1,"develop and use formulas to determine the circumference of circles and the area of triangles, parallelograms, trapezoids, and circles and develop strategies to find the area of more-complex shapes"
s100980f,"develop strategies to determine the surface area and volume of selected prisms, pyramids, and cylinders"
s1016140,"solve problems involving scale factors, using ratio and proportion"
s1023833,"solve simple problems involving rates and derived measurements for such attributes as velocity and density"
s101080a,"analyze precision, accuracy, and approximate error in measurement situations"
s1008f2a,"understand and use formulas for the area, surface area, and volume of geometric figures, including cones, spheres, and cylinders"
s100a3e7,"apply informal concepts of successive approximation, upper and lower bounds, and limit in measurement situations"
s101e8b7,"use unit analysis to check measurement computations"
s10221fd,"Data Analysis and Probability"
s10232fd,"Formulate questions that can be addressed with data and collect, organize, and display relevant data to answer them"
s10217df,"pose questions and gather data about themselves and their surroundings"
s101ad30,"sort and classify objects according to their attributes and organize data about the objects"
s100fb0b,"represent data using concrete objects, pictures, and graphs"
s102368a,"design investigations to address a question and consider how data-collection methods affect the nature of the data set"
s1018c99,"collect data using observations, surveys, and experiments"
s100ca15,"represent data using tables and graphs such as line plots, bar graphs, and line graphs"
s10015c1,"recognize the differences in representing categorical and numerical data"
s100e832,"formulate questions, design studies, and collect data about a characteristic shared by two populations or different characteristics within one population"
s10068ba,"select, create, and use appropriate graphical representations of data, including histograms, box plot, and scatterplots"
s1003cc0,"understand the differences among various kinds of studies and which types of inferences can legitimately be drawn from each"
s10216dc,"know the characteristics of well-designed studies, including the role of randomization in surveys and experiments"
s1025e45,"understand the meaning of measurement data and categorical data, of univariate and bivariate data, and of the term variable"
s100f9d0,"understand histograms, parallel box plots, and scatterplots and use them to display data"
s100c2df,"compute basic statistics and understand the distinction between a statistic and a parameter"
s1023972,"Select and use appropriate statistical methods to analyze data"
s101a6e4,"describe parts of the data and the set of data as a whole to determine what the data show"
s1023fb4,"describe the shape and important features of a set of data and compare related data sets, with an emphasis on how the data are distributed"
s10084f9,"use measures of center, focusing on the median, and understand what each does and does not indicate about the data set"
s101ccb3,"compare different representations of the same data and evaluate how well each representation shows important aspects of the data"
s101cb28,"find, use, and interpret measures of center and spread, including mean and interquartile range"
s10192a3,"discuss and understand the correspondence between data sets and their graphical representations, especially histograms, stem-and-leaf plots, box plots, and scatterplots"
s10200b0,"for univariate measurement data, be able to display the distribution, describe its shape, and select and calculate summary statistics"
s10105a8,"for bivariate measurement data, be able to display a scatterplot, describe its shape, and determine regression coefficients, regression equations, and correlation coefficients using technological tools"
s10077fd,"display and discuss bivariate data where at least one variable is categorical"
s1007ced,"recognize how linear transformations of univariate data affect shape, center, and spread"
s10183f6,"identify trends in bivariate data and find functions that model the data or transform the data so that they can be modeled"
s100485f,"Develop and evaluate inferences and predictions that are based on data"
s101a839,"discuss events related to students' experiences as likely or unlikely"
s1012d72,"propose and justify conclusions and predictions that are based on data and design studies to further investigate the conclusions of predictions"
s1005e5f,"use observations about differences between two or more samples to make conjectures about the populations from which the samples were taken"
s1009802,"make conjectures about possible relationships between two characteristics of a sample on the basis of scatterplots of the data and approximate lines of fit"
s10138a8,"use conjectures to formulate new questions and plan new studies to answer them"
s101d077,"use simulations to explore the variability of sample statistics from a known population and to construct sampling distributions"
s100a24d,"understand how sample statistics reflect the values of population parameters and use sampling distributions as the basis for informal inference"
s10103fc,"evaluate published reports that are based on data by examining the design of the study, the appropriateness of the data analysis, and the validity of conclusions"
s1004531,"understand how basic statistical techniques are used to monitor process characteristics in the workplace"
s101adae,"Understand and apply basic concepts of probability"
s1014df3,"describe events as likely or unlikely and discuss the degree of likelihood using such words as certain, equally likely, and impossible"
s101b9b6,"predict the probability of outcomes of simple experiments and test the predictions"
s100fed3,"understand that the measure of the likelihood of an event can be represented by a number from 0 to 1"
s1003607,"understand and use appropriate terminology to describe complementary and mutually exclusive events"
s1026cef,"use proportionality and a basic understanding of probability to make and test conjectures about the results of experiments and simulations"
s1022025,"compute probabilities for simple compound events, using such methods as organized lists, tree diagrams, and area models"
s10161fe,"understand the concepts of sample space and probability distribution and construct sample spaces and distributions in simple cases"
s101e728,"use simulations to construct empirical probability distributions"
s1016920,"compute and interpret the expected value of random variables in simple cases"
s1022e83,"understand the concepts of conditional probability and independent events"
s10044c8,"understand how to compute the probability of a compound event"
s100bceb,"Problem Solving Standard"
s1012e71,"build new mathematical knowledge through problem solving"
s101b385,"solve problems that arise in mathematics and in other contexts"
s10120cf,"apply and adapt a variety of appropriate strategies to solve problems"
s101ddad,"monitor and reflect on the process of mathematical problem solving"
s1022fd1,"Reasoning and Proof Standard"
s1001e70,"recognize reasoning and proof as fundamental aspects of mathematics"
s1021bb5,"make and investigate mathematical conjectures"
s1012d6a,"develop and evaluate mathematical arguments and proofs"
s1026799,"select and use various types of reasoning and methods of proof"
s1023289,"Communication Standard"
s1003887,"organize and consolidate their mathematical thinking through communication"
s1015092,"communicate their mathematical thinking coherently and clearly to peers, teachers, and others"
s101ec94,"analyze and evaluate the mathematical thinking and strategies of others"
s1012aaa,"use the language of mathematics to express mathematical ideas precisely"
s100412b,"Connections Standard"
s10253b3,"recognize and use connections among mathematical ideas"
s101e50c,"understand how mathematical ideas interconnect and build on one another to produce a coherent whole"
s10019bc,"recognize and apply mathematics in contexts outside of mathematics"
s100d8be,"Representation Standard"
s1005dbb,"create and use representations to organize, record, and communicate mathematical ideas"
s10199ed,"select, apply, and translate among mathematical representations to solve problems"
s100accd,"use representations to model and interpret physical, social, and mathematical phenomena"
e1bbd060a91862d21a34d0fe0ec45056,"National Center for History in the Schools"
s113bcfd,"Standards in Historical Thinking"
s113bcfe,"Standard 1: Chronological Thinking"
s113bd03,"STANDARD 1<br /> The student thinks chronologically:"
s113bd04,"A. Distinguish between past, present, and future time."
s113bd05,"B. Identify the temporal structure of a historical narrative or story: its beginning, middle, and end (the latter defined as the outcome of a particular beginning)."
s113bd06,"C. Establish temporal order in constructing their [students'] own historical narratives: working forward from some beginning through its development, to some end or outcome; working backward from some issue, problem, or event to explain its origins and its development over time."
s113bd07,"D. Measure and calculate calendar time by days, weeks, months, years, decades, centuries."
s113bd08,"E. Interpret data presented in timelines."
s113bd09,"F. Create timelines by designating appropriate equidistant intervals of time and recording events according to the temporal order in which they occurred."
s113bd0a,"G. Explain change and continuity over time."
s113bd2c,"D. Measure and calculate calendar time by days, weeks, months, years, decades, centuriesand millennia, from fixed points of the calendar system: BC (before Christ) and AD (Anno Domini, ""in the year of our Lord"") in the Gregorian calendar and the contemporary secular designation for these same dates, BCE (before the Common Era) and CE (in the Common Era); and compare with the fixed points of other calendar systems such as the Roman (753 BC, the founding of the city of Rome) and the Muslim (622 AD, the hegira)."
s113bd2d,"E. Interpret data presented in timelines by designating appropriate equidistant intervals of time and recording events according to the temporal order in which they occurred."
s113bd2e,"F. Reconstruct patterns of historical succession and duration in which historical developments have unfolded, and apply them to explain historical continuity and change."
s113bd2f,"G. Compare alternative models for periodization by identifying the organizing principles on which each is based."
s113bcff,"Standard 2: Historical Comprehension"
s113bd0b,"STANDARD 2<br /> The student comprehends a variety of historical sources:"
s113bd0c,"A. Identify the author or source of the historical document or narrative."
s113bd0d,"B. Reconstruct the literal meaning of a historical passage by identifying who was involved, what happened, where it happened, what events led to these developments, and what consequences or outcomes followed."
s113bd0e,"C. Identify the central question(s) the historical narrative addresses and the purpose, perspective, or point of view from which it has been constructed."
s113bd0f,"D. Read historical narratives imaginatively, taking into account (a) the historical context in which the event unfolded-the values, outlook, crises, options, and contingencies of that time and place; and (b) what the narrative reveals of the humanity of the individuals involved-their probable motives, hopes, fears, strengths, and weaknesses."
s113bd10,"E. Appreciate historical perspectives--the ability (a) to describe the past on its own terms, through the eyes and experiences of those who were there, as revealed through their literature, diaries, letters, arts, artifacts, and the like; and (b) to avoid ""present-mindedness,"" judging the past solely in terms of present-day norms and values."
s113bd11,"F. Draw upon data in historical maps in order to obtain or clarify information on the geographic setting in which the historical event occurred, its relative and absolute location, the distances and directions involved, the natural and man-made features of the place, and critical relationships in the spatial distributions of those features and the historical event occurring there."
s113bd12,"G. Draw upon the visual and mathematical data presented in graphs, including charts, tables, pie and bar graphs, flow charts, Venn diagrams, and other graphic organizers to clarify, illustrate, or elaborate upon information presented in the historical narrative."
s113bd13,"H. Draw upon the visual data presented in photographs, paintings, cartoons, and architectural drawings in order to clarify, illustrate, or elaborate upon information presented in the historical narrative."
s113bd30,"D. Differentiate between historical facts and historical interpretations but acknowledge that the two are related; that the facts the historian reports are selected and reflect therefore the historian's judgement of what is most significant about the past."
s113bd31,"E. Read historical narratives imaginatively, taking into account what the narrative reveals of the humanity of the individuals and groups involved--their probable values, outlook, motives, hopes, fears, strengths, and weaknesses."
s113bd32,"F. Appreciate historical perspectives--the ability (a) describing the past on its own terms, through the eyes and experiences of those who were there, as revealed through their literature, diaries, letters, debates, arts, artifacts, and the like; (b) considering the historical context in which the event unfolded--the values, outlook, options, and contingencies of that time and place; and (c) avoiding ""present-mindedness,"" judging the past solely in terms of present-day norms and values."
s113bd33,"G. Draw upon data in historical maps in order to obtain or clarify information on the geographic setting in which the historical event occurred, its relative and absolute location, the distances and directions involved, the natural and man-made features of the place, and critical relationships in the spatial distributions of those features and the historical event occurring there."
s113bd34,"H. Utilize visual and mathematical data presented in graphs, including charts, tables, pie and bar graphs, flow charts, Venn diagrams, and other graphic organizers to clarify, illustrate, or elaborate upon information presented in the historical narrative."
s113bd35,"I. Draw upon the visual, literary, and musical sources including: (a) photographs, paintings, cartoons, and architectural drawings; (b) novels, poetry, and plays; and, (c) folk, popular and classical music, to clarify, illustrate, or elaborate upon information presented in the historical narrative."
s113bd00,"Standard 3: Historical Analysis and Interpretation"
s113bd14,"STANDARD 3<br /> The student engages in historical analysis and interpretation:"
s113bd15,"A. Formulate questions to focus their inquiry and analysis."
s113bd16,"B. Compare and contrast differing sets of ideas, values, personalities, behaviors, and institutions by identifying likenesses and differences."
s113bd17,"C. Analyze historical fiction on such criteria as the accuracy of the story's historical details and sequence of events; and the point of view or interpretation presented by the author through the words, actions, and descriptions of the characters and events in the story."
s113bd18,"D. Distinguish fact and fiction by comparing documentary sources on historical figures and events with the fictional characters and events included in the story and its illustrations."
s113bd19,"E. Compare different stories about a historical figure, era, or event and analyze the different portrayals or perspectives they present."
s113bd1a,"F. Analyze illustrations in historical stories for the information they reveal and compare with historic sites, museum artifacts, historical photos, and other documents to judge their accuracy."
s113bd1b,"G. Consider multiple perspectives in the records of human experience by demonstrating how their differing motives, beliefs, interests, hopes, and fears influenced individual and group behaviors."
s113bd1c,"H. Explain causes in analyzing historical actions, including (a) the importance of the individual in history, of human will, intellect, and character; (b) the influence of ideas, human interests, and beliefs; and (c) the role of chance, the accidental, and the irrational."
s113bd1d,"I. Challenge arguments of historical inevitability by giving examples of how different choices could have led to different consequences."
s113bd1e,"J. Hypothesize the influence of the past, including both the limitations and opportunities made possible by past decisions."
s113bd36,"A. Compare and contrast differing sets of ideas, values, personalities, behaviors, and institutions by identifying likenesses and differences."
s113bd37,"B. Consider multiple perspectives of various peoples in the past by demonstrating their differing motives, beliefs, interests, hopes, and fears."
s113bd38,"C. Analyze cause-and-effect relationships bearing in mind multiple causation including (a) the importance of the individual in history; (b) the influence of ideas, human interests, and beliefs; and (c) the role of chance, the accidental and the irrational."
s113bd39,"D. Draw comparisons across eras and regions in order to define enduring issues as well as large-scale or long-term developments that transcend regional and temporal boundaries."
s113bd3a,"E. Distinguish between unsupported expressions of opinion and informed hypotheses grounded in historical evidence."
s113bd3b,"F. Compare competing historical narratives."
s113bd3c,"G. Challenge arguments of historical inevitability by formulating examples of historical contingency, of how different choices could have led to different consequences."
s113bd3d,"H. Hold interpretations of history as tentative, subject to changes as new information is uncovered, new voices heard, and new interpretations broached."
s113bd3e,"I. Evaluate major debates among historians concerning alternative interpretations of the past."
s113bd01,"Standard 4: Historical Research Capabilities"
s113bd1f,"STANDARD 4<br /> The student conducts historical research:"
s113bd20,"A. Formulate historical questions from encounters with historical documents, eyewitness accounts, letters, diaries, artifacts, photos, historical sites, art, architecture, and other records from the past."
s113bd21,"B. Obtain historical data from a variety of sources, including: library and museum collections, historic sites, historical photos, journals, diaries, eyewitness accounts, newspapers, and the like; documentary films; and so on."
s113bd22,"C. Interrogate historical data by determining by whom and when it was created; testing the data source for its credibility, authority and authenticity; and detecting and evaluating bias, distortion, and propaganda by omission, suppression, or invention of facts."
s113bd23,"D. Marshal needed information of the time and place in order to construct a story, explanation, or historical narrative."
s113bd3f,"B. Obtain historical data from a variety of sources, including: library and museum collections, historic sites, historical photos, journals, diaries, eyewitness accounts, newspapers, and the like; documentary films, oral testimony from living witnesses, censuses, tax records, city directories, statistical compilations, and economic indicators."
s113bd40,"C. Interrogate historical data by uncovering the social, political, and economic context in which it was created; testing the data source for its credibility, authority, authenticity, internal consistency and completeness; and detecting and evaluating bias, distortion, and propaganda by omission, suppression, or invention of facts."
s113bd41,"D. Identify the gaps in the available records and marshal contextual knowledge and perspectives of the time and place in order to elaborate imaginatively upon the evidence, fill in the gaps deductively, and construct a sound historical interpretation."
s113bd42,"E. Employ quantitative analysis in order to explore such topics as changes in family size and composition, migration patterns, wealth distribution, and changes in the economy."
s113bd43,"F. Support interpretations with historical evidence in order to construct closely reasoned arguments rather than facile opinions."
s113bd02,"Standard 5: Historical Issues-Analysis and Decision-Making"
s113bd24,"STANDARD 5<br /> The student engages in historical issues-analysis and decision-making:"
s113bd25,"A. Identify problems and dilemmas confronting people in historical stories, myths, legends, and fables, and in the history of their school, community, state, nation, and the world."
